1959	317.87
1960	318.83
1961	319.54
1962	320.32
1963	320.88
1964	321.45
1965	321.94
1966	323.04
1967	324.14
1968	324.75
1969	325.74
1970	327.06
1971	328.19
1972	328.92
1973	330.39
1974	331.85
1975	332.53
1976	333.76
1977	334.73
1978	336.65
1979	337.94
1980	340.08
1981	341.79
1982	342.94
1983	343.94
1984	345.78
1985	347.02
1986	348.65
1987	349.69
1988	352.38
1989	354.62
1990	356
1991	357.18
1992	357.9
1993	358.6
1994	359.82
1995	361.5
1996	363.45
1997	364.52
1998	366.5
1999	369.3
2000	370.64
2001	371.88
2002	373.72
2003	376.1
2004	378.36
2005	379.91
2006	382.35
2007	384.12
2008	386.21
2009	387.98
2010	389.6
2011	392.04
2012	393.71
2013	396.1
2014	398.54
2015	400.53
2016	403.47
